Date,ServiceName,MeterCategory,CostUSD,ResourceGroup,Tags,SubscriptionName,Location
2025-10-16,Virtual Machines,Compute Hours,244.6536,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,southeastasia
2025-10-16,Virtual Machines,Compute Hours,253.9194,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,southeastasia
2025-10-16,Virtual Machines,Compute Hours,258.6896,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,southeastasia
2025-10-16,Virtual Machines,Compute Hours,260.4709,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,southeastasia
2025-10-16,Virtual Machines,Compute Hours,279.4753,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,westeurope
2025-10-16,Virtual Machines,Compute Hours,228.2831,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,eastus
2025-10-16,Virtual Machines,Compute Hours,266.3351,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,westeurope
2025-10-16,Virtual Machines,Compute Hours,270.548,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,westeurope
2025-10-16,Virtual Machines,Compute Hours,275.8108,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,southeastasia
2025-10-16,Virtual Machines,Compute Hours,221.1188,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,eastus
2025-10-16,Virtual Machines,Compute Hours,259.1432,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,eastus
2025-10-16,Virtual Machines,Compute Hours,292.4599,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-16,Virtual Machines,Compute Hours,251.0734,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,eastus
2025-10-16,Virtual Machines,Compute Hours,264.357,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,westeurope
2025-10-16,Virtual Machines,Compute Hours,271.1264,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,westeurope
2025-10-16,Azure Blob Storage,GRS Data Stored,36.9134,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,westeurope
2025-10-16,Azure Blob Storage,GRS Data Stored,47.3785,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,eastus
2025-10-16,Azure Blob Storage,GRS Data Stored,42.4948,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,southeastasia
2025-10-16,Azure Blob Storage,GRS Data Stored,42.568,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,westeurope
