usage_start_time,service_description,sku_description,cost,currency,project_id,labels,location_region
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,218.1941,USD,gcp-platform-production,"{""team"": ""platform"", ""env"": ""production""}",us-central1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,243.1163,USD,gcp-platform-staging,"{""team"": ""platform"", ""env"": ""staging""}",us-central1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,233.8152,USD,gcp-platform-development,"{""team"": ""platform"", ""env"": ""development""}",us-central1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,234.6632,USD,gcp-data-eng-production,"{""team"": ""data-eng"", ""env"": ""production""}",us-central1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,230.4736,USD,gcp-data-eng-staging,"{""team"": ""data-eng"", ""env"": ""staging""}",us-central1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,242.1027,USD,gcp-data-eng-development,"{""team"": ""data-eng"", ""env"": ""development""}",europe-west1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,242.8899,USD,gcp-ml-team-production,"{""team"": ""ml-team"", ""env"": ""production""}",europe-west1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,246.2611,USD,gcp-ml-team-staging,"{""team"": ""ml-team"", ""env"": ""staging""}",europe-west1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,235.3859,USD,gcp-ml-team-development,"{""team"": ""ml-team"", ""env"": ""development""}",europe-west1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,226.9893,USD,gcp-frontend-production,"{""team"": ""frontend"", ""env"": ""production""}",europe-west1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,224.2354,USD,gcp-frontend-staging,"{""team"": ""frontend"", ""env"": ""staging""}",europe-west1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,216.0715,USD,gcp-frontend-development,"{""team"": ""frontend"", ""env"": ""development""}",us-central1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,226.7544,USD,gcp-backend-production,"{""team"": ""backend"", ""env"": ""production""}",us-central1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,223.4291,USD,gcp-backend-staging,"{""team"": ""backend"", ""env"": ""staging""}",europe-west1
2025-10-16 22:01:54 UTC,Compute Engine,N2 Instance Core,259.4925,USD,gcp-backend-development,"{""team"": ""backend"", ""env"": ""development""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,33.3617,USD,gcp-platform-production,"{""team"": ""platform"", ""env"": ""production""}",asia-east1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,38.6142,USD,gcp-platform-staging,"{""team"": ""platform"", ""env"": ""staging""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,35.3253,USD,gcp-platform-development,"{""team"": ""platform"", ""env"": ""development""}",asia-east1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,35.4797,USD,gcp-data-eng-production,"{""team"": ""data-eng"", ""env"": ""production""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,37.011,USD,gcp-data-eng-staging,"{""team"": ""data-eng"", ""env"": ""staging""}",us-central1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,32.4253,USD,gcp-data-eng-development,"{""team"": ""data-eng"", ""env"": ""development""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,33.9841,USD,gcp-ml-team-production,"{""team"": ""ml-team"", ""env"": ""production""}",asia-east1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,32.8723,USD,gcp-ml-team-staging,"{""team"": ""ml-team"", ""env"": ""staging""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,35.0417,USD,gcp-ml-team-development,"{""team"": ""ml-team"", ""env"": ""development""}",us-central1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,33.7088,USD,gcp-frontend-production,"{""team"": ""frontend"", ""env"": ""production""}",us-central1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,39.3192,USD,gcp-frontend-staging,"{""team"": ""frontend"", ""env"": ""staging""}",us-central1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,34.53,USD,gcp-frontend-development,"{""team"": ""frontend"", ""env"": ""development""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,30.0062,USD,gcp-backend-production,"{""team"": ""backend"", ""env"": ""production""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,35.1572,USD,gcp-backend-staging,"{""team"": ""backend"", ""env"": ""staging""}",europe-west1
2025-10-16 22:01:54 UTC,Cloud Storage,Standard Storage,38.0348,USD,gcp-backend-development,"{""team"": ""backend"", ""env"": ""development""}",asia-east1
2025-10-16 22:01:54 UTC,BigQuery,Analysis,71.3036,USD,gcp-platform-production,"{""team"": ""platform"", ""env"": ""production""}",asia-east1
2025-10-16 22:01:54 UTC,BigQuery,Analysis,62.9719,USD,gcp-platform-staging,"{""team"": ""platform"", ""env"": ""staging""}",asia-east1
2025-10-16 22:01:54 UTC,BigQuery,Analysis,61.6843,USD,gcp-platform-development,"{""team"": ""platform"", ""env"": ""development""}",asia-east1
2025-10-16 22:01:54 UTC,BigQuery,Analysis,63.9353,USD,gcp-data-eng-production,"{""team"": ""data-eng"", ""env"": ""production""}",asia-east1
2025-10-16 22:01:54 UTC,BigQuery,Analysis,65.8595,USD,gcp-data-eng-staging,"{""team"": ""data-eng"", ""env"": ""staging""}",europe-west1
2025-10-16 22:01:54 UTC,BigQuery,Analysis,58.9426,USD,gcp-data-eng-development,"{""team"": ""data-eng"", ""env"": ""development""}",us-central1
2025-10-16 22:01:54 UTC,BigQuery,Analysis,62.9049,USD,gcp-ml-team-production,"{""team"": ""ml-team"", ""env"": ""production""}",asia-east1
